country,hosts_with_nonstandard_ports,total_hosts,proportion_nonstandard,pct_http,pct_https,pct_ssh,pct_ftp,pct_telnet,pct_smtp,pct_imap,pct_pop3,pct_dns,pct_mysql,pct_rdp,pct_mongodb,pct_redis,pct_postgresql,pct_vnc
United Arab Emirates,3,5,0.6,1.0,,,,,,,,,,,,,,
Sierra Leone,10,17,0.58823529411764708,0.75,,0.0625,,0.1875,,,,,,,,,,
Austria,37,63,0.58730158730158732,0.98913043478260865,,,,,,,,,,0.010869565217391304,,,,
Puerto Rico,27,46,0.58695652173913049,0.813953488372093,,0.046511627906976744,,,0.069767441860465115,,,,,0.069767441860465115,,,,
Mozambique,96,165,0.58181818181818179,0.96,,0.016,,0.024,,,,,,,,,,
Denmark,4,7,0.5714285714285714,0.625,,,,,0.25,0.125,,,,,,,,
Reunion,4,7,0.5714285714285714,1.0,,,,,,,,,,,,,,
Martinique,21,38,0.55263157894736847,0.9642857142857143,,,0.035714285714285712,,,,,,,,,,,
Vanuatu,17,31,0.54838709677419351,0.87179487179487181,,0.02564102564102564,,,0.05128205128205128,,0.02564102564102564,,,0.02564102564102564,,,,
Czech Republic,12,22,0.54545454545454541,0.91666666666666663,,0.055555555555555552,,,,,,,,,,,,0.027777777777777776
Ghana,47,87,0.54022988505747127,0.90990990990990994,,0.027027027027027029,,0.0090090090090090089,,,,,,0.054054054054054057,,,,
Mexico,1048,1945,0.5388174807197943,0.94336654431043521,,0.029365495542737284,0.006292606187729418,0.009438909281594127,0.0026219192448872575,0.0005243838489774515,0.0005243838489774515,,,0.006292606187729418,,,,0.0015731515469323545
Germany,432,828,0.52173913043478259,0.87862796833773082,,0.055408970976253295,0.0026385224274406332,0.0026385224274406332,0.040897097625329816,0.0079155672823219,0.0052770448548812663,,,0.00395778364116095,,,,0.0026385224274406332
Paraguay,18,35,0.51428571428571423,0.9375,,,0.03125,0.03125,,,,,,,,,,
Qatar,66,129,0.51162790697674421,0.92222222222222228,,0.077777777777777779,,,,,,,,,,,,
Dominican Republic,22,44,0.5,0.89743589743589747,,0.076923076923076927,,0.02564102564102564,,,,,,,,,,
Burundi,3,6,0.5,0.75,,0.25,,,,,,,,,,,,
Romania,4,8,0.5,1.0,,,,,,,,,,,,,,
Lithuania,1,2,0.5,1.0,,,,,,,,,,,,,,
Guam,5,10,0.5,0.93333333333333335,,,,0.066666666666666666,,,,,,,,,,
Guernsey,1,2,0.5,1.0,,,,,,,,,,,,,,
New Zealand,102,207,0.49275362318840582,0.90173410404624277,,0.046242774566473986,,,0.034682080924855488,0.011560693641618497,,,,0.0057803468208092483,,,,
Argentina,483,984,0.49085365853658536,0.86759259259259258,,0.05185185185185185,0.0083333333333333332,0.0018518518518518519,0.0027777777777777779,0.0018518518518518519,0.0018518518518518519,,,0.05,,,,0.013888888888888888
Kenya,127,260,0.48846153846153845,0.99016393442622952,,0.0028688524590163933,0.00040983606557377049,0.0012295081967213116,0.001639344262295082,,0.00040983606557377049,,0.000819672131147541,0.0024590163934426232,,,,
Costa Rica,13,27,0.48148148148148145,0.8571428571428571,,0.047619047619047616,,,,,,,0.047619047619047616,,,,,0.047619047619047616
Rwanda,9,19,0.47368421052631576,0.92307692307692313,,0.076923076923076927,,,,,,,,,,,,
Panama,11,24,0.45833333333333331,0.90476190476190477,,0.095238095238095233,,,,,,,,,,,,
French Guiana,10,22,0.45454545454545453,0.8,,0.15,,,,,,,0.05,,,,,
United Kingdom,591,1301,0.45426594926979247,0.937799043062201,,0.023923444976076555,,0.0028708133971291866,0.0047846889952153108,0.0028708133971291866,0.0019138755980861245,,,0.016267942583732056,,,,0.0095693779904306216
Malaysia,180,402,0.44776119402985076,0.64907651715039583,,0.24802110817941952,,,0.04221635883905013,,,,,,,,,0.060686015831134567
Netherlands,82,188,0.43617021276595747,0.93706293706293708,,0.062937062937062943,,,,,,,,,,,,
