country,hosts_with_nonstandard_ports,total_hosts,proportion_nonstandard,pct_http,pct_https,pct_ssh,pct_ftp,pct_telnet,pct_smtp,pct_imap,pct_pop3,pct_dns,pct_mysql,pct_rdp,pct_mongodb,pct_redis,pct_postgresql,pct_vnc
Bahrain,7314,10000,0.7314,0.97346544224262932,,0.01846302561623973,0.0004833252779120348,0.0024649589173513773,0.0014016433059449009,0.0009666505558240696,0.00062832286128564519,,0.00028999516674722088,0.0014499758337361043,0.00014499758337361044,0.00019333011116481392,,4.833252779120348e-05
Ireland,7299,10000,0.7299,0.96148242578765253,,0.014751411400473502,0.002640684756874886,,0.0091058095064651245,0.00364232380258605,0.0035512657075213987,9.1058095064651241e-05,9.1058095064651241e-05,0.0024585685667455836,9.1058095064651241e-05,0.0011837552358404662,,0.00091058095064651249
Canada,7278,10000,0.7278,0.944977503117038,,0.015232829186317558,0.00092155906109394486,0.0052583075838889791,0.016696481812760882,0.0071556350626118068,0.0063424947145877377,,0.00048788420881444138,0.0015178619829782621,0.0001626280696048138,,,0.0012468152003035724
Israel,7273,10000,0.7273,0.99922775589858492,,0.00026438899038594134,4.8503016221881328e-05,1.80697511414852e-05,0.00020922869742772337,7.8936281302277456e-05,9.8908111511287409e-05,,3.8041581350495161e-06,4.1845739485544674e-05,,,,8.5593558038614109e-06
Turkmenistan,2128,2945,0.72258064516129028,0.85322007111813514,,0.079217700513630973,0.0021730541288028449,0.00098775187672856587,0.025879099170288425,0.011062821019359936,0.009087317265902806,,0.00098775187672856587,0.016594231529039907,,0.00059265112603713952,,0.00019755037534571315
Bermuda,7182,10000,0.7182,0.98054406197728672,,0.017871291486926667,0.00026410775596443349,0.00044017959327405582,0.00044017959327405582,8.8035918654811164e-05,,,,0.00035214367461924466,,,,
South Korea,7029,10000,0.7029,0.96986827661909991,,0.010812294182217344,0.0013172338090010978,0.003402854006586169,0.0030735455543358945,0.00054884742041712406,0.00032930845225027445,,0.00093304061470911087,0.0019209659714599342,0.00016465422612513722,0.00010976948408342481,,0.0075192096597146
Estonia,7017,10000,0.7017,0.83103639759705183,,0.056287546064919987,0.00444242516028068,0.0010601241859760715,0.047806552577111416,0.025745873087990308,0.022565500530062094,,0.00095915997778787422,0.0065121914281387246,,,,0.0035842293906810036
Jamaica,7013,10000,0.7013,0.99212508559689572,,0.0043369093814197672,0.00045651677699155445,0.00057064597123944309,0.0011412919424788862,0.00057064597123944309,0.00011412919424788861,,,0.00045651677699155445,,,,0.00022825838849577722
Saint Kitts and Nevis,6921,9870,0.70121580547112461,0.99569085348901865,,0.0029190992493744786,0.00013900472616068947,,0.00027800945232137893,0.00027800945232137893,0.00041701417848206837,,,0.00027800945232137893,,,,
Somalia,3374,4820,0.7,0.98431671753136651,,0.0078840284842319423,8.4774499830451007e-05,0.0026280094947439812,0.0013563919972872161,0.000254323499491353,0.000254323499491353,,0.000762970498474059,0.002119362495761275,0.00016954899966090201,0.00016954899966090201,,
Swaziland,6967,10000,0.6967,0.884636235498211,,0.093787270953052157,,0.011926704976688712,0.0028190393581264232,0.0030358885395207632,0.0031443131302179334,,,0.00065054754418302071,,,,
Anguilla,66,95,0.69473684210526321,1.0,,,,,,,,,,,,,,
"Bonaire, Saint Eustatius and Saba",1096,1588,0.690176322418136,0.93075591459896134,,0.050201961915753032,0.0011540680900173109,0.00057703404500865547,0.0046162723600692438,0.0017311021350259665,0.0023081361800346219,,0.00057703404500865547,0.0075014425851125215,,,,0.00057703404500865547
Costa Rica,6886,10000,0.6886,0.94709168583634573,,0.022017745645744331,0.0015335743235841822,0.00186219739292365,0.0111731843575419,0.0043816409245262351,0.0039434768320736118,,0.00054770511556577939,0.0058056742249972615,,0.00010954102311315588,,0.0015335743235841822
United States,6855,10000,0.6855,0.91950880222573994,,0.030699860891255336,0.0026862378279848419,0.0007674965222813834,0.021345997025950976,0.0092579268000191877,0.007674965222813834,,0.00091140212020914284,0.0064757519067491724,9.5937065285172925e-05,,,0.00057562239171103755
Iceland,6808,10000,0.6808,0.88589341692789969,,0.085841170323928948,0.00020898641588296761,0.0042842215256008358,0.011024033437826541,0.0060606060606060606,0.0041797283176593526,,0.00015673981191222572,0.00094043887147335424,,,,0.0014106583072100312
Vietnam,6807,10000,0.6807,0.931501693639443,,0.039867734824452924,0.0076348190762944241,0.00037636432066240122,0.0065057261143072207,0.0032528630571536103,0.00309156406258401,0.00032259798913920104,0.00029571482337760094,0.0047852035055648157,0.00013441582880800043,2.6883165761600087e-05,,0.002204419592451207
Saint Barthelemy,53,78,0.67948717948717952,0.91549295774647887,,0.056338028169014086,0.028169014084507043,,,,,,,,,,,
Egypt,6766,10000,0.6766,0.97411460171784914,,0.0057653841628426874,0.00023532180256500765,0.0094128721026003059,0.0025885398282150841,0.0010589481115425344,0.00070596540769502295,,0.00011766090128250382,0.00400047064360513,,0.00011766090128250382,,0.0018825744205200612
Netherlands,6760,10000,0.676,0.85628710771840544,,0.053965224766751481,0.0015373197625106023,0.00063613231552162855,0.04209075487701442,0.017599660729431723,0.012987701441899915,,0.0037107718405428331,0.0053011026293469038,5.3011026293469041e-05,0.00068914334181509752,,0.005142069550466497
Latvia,6714,10000,0.6714,0.872040946896993,,0.06493921944977607,0.00095969289827255275,0.0016794625719769674,0.03063019833653231,0.00935700575815739,0.007677543186180422,0.00063979526551503517,0.00047984644913627637,0.0074376199616122841,,,,0.0041586692258477288
